siteenergyusekWh,totalghgemissions,log_totalghgemissions,log_siteenergyusekwh,haversinedistance,yearbuilt,is_using_electricitykWh,is_using_naturalgaskWh,is_using_steamusekWh,largestpropertyusetypegfa,numberofbuildings,numberoffloors,propertygfabuildings,buildingtype,primarypropertytype
2117837.7900828747,249.98,5.525373254682162,14.565906688027049,0.8000502801282303,1927,1.0,1.0,1.0,88434.0,1.0,12,88434.0,NonResidential,Hotel
2458260.4993983097,295.86,5.6932606471966185,14.71496495051138,0.7870765132003066,1996,1.0,1.0,0.0,83880.0,1.0,11,88502.0,NonResidential,Hotel
21273156.79179568,2089.28,7.6450533072773705,16.872956638394683,0.9701094014976077,1969,1.0,1.0,1.0,756493.0,1.0,41,759392.0,NonResidential,Hotel
1991296.0030848798,286.43,5.660979352330892,14.504296744741305,0.9441393453426473,1926,1.0,1.0,1.0,61320.0,1.0,10,61320.0,NonResidential,Hotel
4153580.8051084196,505.01,6.226556431938032,15.239481605530996,1.0480915783667253,1980,1.0,1.0,0.0,123445.0,1.0,18,113580.0,NonResidential,Hotel
3542237.48379912,301.81,5.713105546117053,15.080269425323474,1.1645352602472578,1999,1.0,1.0,0.0,88830.0,1.0,2,60090.0,Nonresidential COS,Other
1687736.21256065,176.14,5.176940380381437,14.338899262256039,0.8579480024178852,1926,1.0,1.0,0.0,81352.0,1.0,11,83008.0,NonResidential,Hotel
1845800.137705705,221.51,5.404972044416576,14.42842396218882,0.7881029529701082,1926,1.0,1.0,1.0,102761.0,1.0,8,102761.0,NonResidential,Other
4022054.6118874,392.16,5.974216653698429,15.207303676142912,0.36466678110580003,1904,1.0,1.0,0.0,163984.0,1.0,15,163984.0,NonResidential,Hotel
1340441.71933139,151.12,5.024669683060059,14.108510504921881,0.3741231147200843,1910,1.0,1.0,1.0,56132.0,1.0,6,62216.0,Multifamily MR (5-9),Mid-Rise Multifamily
4694014.99488908,691.26,6.539961607594982,15.361799062905213,0.17419799235499353,1969,1.0,1.0,1.0,133884.0,1.0,11,133884.0,NonResidential,Hotel
7895659.9346877,740.97,6.609308811083168,15.881823917771179,0.13368098560982344,1998,1.0,1.0,1.0,336640.0,1.0,25,272015.0,NonResidential,Hotel
1933113.629306525,328.23,5.796756594662978,14.474643057677188,0.1345812813958709,1928,1.0,1.0,1.0,65009.0,1.0,9,65009.0,NonResidential,Hotel
6542918.31561948,648.62,6.476387576550862,15.69389400237121,0.21016375993614167,1980,1.0,1.0,1.0,295511.0,1.0,33,258352.0,NonResidential,Hotel
3150516.9332107,511.39,6.239086053829017,14.963077420527288,0.15226185761955002,1922,1.0,1.0,1.0,67390.0,1.0,11,66990.0,NonResidential,Hotel
5447857.090280199,181.38,5.206092422505519,15.510733078432619,0.0727597802816808,2004,1.0,0.0,1.0,364913.0,1.0,11,355000.0,Nonresidential COS,Other
2917931.62906372,433.86,6.075024140206913,14.886385919746148,0.0971939499110217,1930,1.0,1.0,1.0,90000.0,1.0,6,103911.0,NonResidential,Other
9834514.38664892,802.89,6.6894624438984165,16.101408734229192,0.11997432203580115,1983,1.0,1.0,0.0,348329.0,1.0,28,331281.0,NonResidential,Hotel
2229123.322925415,273.02,5.613201096424962,14.617119386014698,0.12285593155938186,1907,1.0,1.0,1.0,16442.0,1.0,5,57452.0,NonResidential,Mixed Use Property
2976021.83199056,349.32,5.858847022493143,14.906098346945528,0.2715806660934113,1916,1.0,1.0,1.0,104352.0,1.0,10,104352.0,NonResidential,Hotel
13183646.17014076,1265.29,7.143846644402559,16.394487768799735,0.41234868254011725,1916,1.0,1.0,0.0,537150.0,1.0,10,540360.0,NonResidential,Other
14026326.31283884,1699.45,7.43864820089824,16.45644664395663,0.3853948480280994,1985,1.0,1.0,0.0,385274.0,1.0,19,385274.0,NonResidential,Other
1073675.975896915,90.01,4.510969390589264,13.886599741490077,6.03597845001104,2001,1.0,1.0,0.0,58006.0,1.0,6,58006.0,NonResidential,Hotel
3324506.1937640198,388.04,5.963682166095531,15.01683200868575,1.3664782306688315,1928,1.0,1.0,0.0,125000.0,1.0,7,126593.0,NonResidential,University
383992.4496419387,9.13,2.315501318260592,12.858380773200253,0.9832821723552617,1930,1.0,0.0,0.0,67224.0,1.0,2,67224.0,NonResidential,Other
1561497.754120105,256.57,5.55129152782092,14.26115665783118,0.7859917021142739,1991,1.0,1.0,0.0,112676.0,1.0,8,128375.0,NonResidential,Hotel
3241927.55837012,328.63,5.797970813310776,14.991678944751834,1.3071688954444172,2001,1.0,1.0,0.0,128909.0,1.0,10,133585.0,NonResidential,Hotel
1306134.087199515,128.44,4.863217453310182,14.082583019303634,1.2740359698081973,1978,1.0,1.0,0.0,47994.0,1.0,5,52210.0,NonResidential,Hotel
1215049.357069935,157.77,5.06745661408942,14.010296080046013,6.438555285482413,1906,1.0,1.0,0.0,40943.0,1.0,3,87262.0,NonResidential,Small- and Mid-Sized Office
1954364.505663295,215.0,5.375278407684165,14.485576149191164,7.0622879003744625,1994,1.0,1.0,0.0,81871.0,1.0,4,81871.0,NonResidential,Hotel
93303.51624972437,3.93,1.5953389880545987,11.443623791341563,6.74074725838361,1955,1.0,1.0,0.0,26225.0,1.0,2,110356.0,NonResidential,Self-Storage Facility
131408763.16012384,16870.98,9.733409536761986,18.693823360117214,7.996343442706254,1992,1.0,1.0,0.0,757027.0,1.0,3,494835.0,Campus,Mixed Use Property
13109408.9235412,311.84,5.74569187773341,16.38884084508094,11.033893075110885,1961,1.0,0.0,0.0,616000.0,3.0,2,714095.0,NonResidential,Warehouse
